INC_PCT_LO,DEP_STAT_PCT_IND,DEP_INC_PCT_LO,IND_INC_PCT_LO,PAR_ED_PCT_1STGEN,INC_PCT_M1,INC_PCT_M2,INC_PCT_H1,INC_PCT_H2,DEP_INC_PCT_M1,DEP_INC_PCT_M2,DEP_INC_PCT_H1,DEP_INC_PCT_H2,IND_INC_PCT_M1,IND_INC_PCT_M2,IND_INC_PCT_H1,IND_INC_PCT_H2
0.8611803824,0.7747298421,0.7306273063,0.8991416309,0.5452436195,0.0972568579,0.0249376559,PrivacySuppressed,PrivacySuppressed,0.1771217712,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.0740343348,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.6815834768,0.6833046472,0.4945652174,0.7682619647,0.48583878,0.1600688468,0.0860585198,0.0464716007,0.0258175559,0.2010869565,0.1467391304,PrivacySuppressed,PrivacySuppressed,0.1410579345,0.0579345088,PrivacySuppressed,PrivacySuppressed
0.6793856871,0.3988283724,0.595470108,0.8058753474,0.5200617284,0.1724192527,0.099430019,0.0353071564,0.0134578847,0.2085857256,0.129575981,0.0468791151,0.0194890703,0.1179039301,0.0539896784,0.0178642318,0.0043668122
0.7502256318,0.6820848375,0.5628105039,0.8375785643,0.4570059205,0.1173285199,0.0679151625,0.0403880866,0.0241425993,0.1717530163,0.1142654365,0.0929737402,0.0581973031,0.0919616275,0.046311611,0.0158782666,0.0082699305
0.8333333333,0.75,0.5833333333,0.9166666667,0.5129151292,0.0833333333,0.0446428571,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.6408003904,0.4148365056,0.530442035,0.7964705882,0.3521126761,0.149829185,0.093216203,0.0571010249,0.0590531967,0.1618015013,0.128440367,0.0867389491,0.0925771476,0.1329411765,0.0435294118,0.0152941176,0.0117647059
0.7181093571,0.7859380331,0.5460736019,0.7649658656,0.4972857507,0.1437831467,0.0815370778,0.0383339019,0.0182365165,0.1703853955,0.1403216459,0.0877281947,0.055491162,0.1365376268,0.0655262223,0.0248806282,0.0080896571
0.3408951563,0.5236051502,0.2921492921,0.3852459016,0.3643835616,0.1698344574,0.1919068056,0.1483752299,0.1489883507,0.1621621622,0.1776061776,0.1428571429,0.2252252252,0.1768149883,0.2049180328,0.1533957845,0.0796252927
0.8977900552,0.8314917127,0.8360655738,0.9102990033,0.5520833333,0.0745856354,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.685017186,0.7188820646,0.5694527962,0.7302084966,0.4770592608,0.1593508762,0.0880148758,0.0423733589,0.0252437032,0.1657646823,0.127280016,0.0771697735,0.060332732,0.1568427653,0.0726602916,0.0287662643,0.0115221822
0.7794392523,0.6186915888,0.625,0.8746223565,0.6260162602,0.1299065421,0.0579439252,0.0214953271,0.0112149533,0.2034313725,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.084592145,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.9475409836,0.8754098361,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.7100078802,0.5256107171,0.6146179402,0.796101949,0.5539033457,0.1607565012,0.0969267139,PrivacySuppressed,PrivacySuppressed,0.2009966777,0.1328903654,PrivacySuppressed,PrivacySuppressed,0.1244377811,0.0644677661,PrivacySuppressed,PrivacySuppressed
0.8082474227,0.6474226804,0.6959064327,0.8694267516,0.5843828715,0.1463917526,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.2456140351,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.0923566879,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.6426858513,0.3681055156,0.5759013283,0.7573289902,0.4914908101,0.2152278177,0.1007194245,0.0263788969,0.0149880096,0.2447817837,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.164495114,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.812992126,0.6496062992,0.7134831461,0.8666666667,0.5907928389,0.1220472441,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.1966292135,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.0818181818,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.868622449,0.6951530612,0.7112970711,0.9376146789,0.4992272025,0.0956632653,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.8881987578,0.6832298137,0.7777777778,0.9393939394,0.5719178082,0.0869565217,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.8243243243,0.7972972973,0.6444444444,0.8700564972,0.5388888889,0.0990990991,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.564,0.892,PrivacySuppressed,PrivacySuppressed,0.58,0.228,0.156,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.3703703704,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.130044843,PrivacySuppressed,PrivacySuppressed
0.6628382324,0.436636169,0.5483759502,0.8105216228,0.4613788333,0.1642982285,0.1144636948,0.0414638894,0.0169359548,0.204561161,0.1558396683,PrivacySuppressed,PrivacySuppressed,0.1123495319,0.0610789122,PrivacySuppressed,PrivacySuppressed
0.7697916667,0.65,0.5982142857,0.8621794872,0.5641025641,0.165625,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.2976190476,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.0945512821,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.8571428571,0.7238095238,PrivacySuppressed,PrivacySuppressed,0.4875,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.8100436681,0.6899563319,0.6901408451,0.8639240506,0.539893617,0.1200873362,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.2042253521,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.082278481,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.78125,0.8125,PrivacySuppressed,PrivacySuppressed,0.4814814815,0.1145833333,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.4384485666,0.3996627319,0.2752808989,0.6835443038,0.3481624758,0.1703204047,0.1703204047,0.1180438449,0.1028667791,0.1882022472,0.2134831461,PrivacySuppressed,PrivacySuppressed,0.1434599156,0.1054852321,PrivacySuppressed,PrivacySuppressed
0.8346213292,0.5811437403,0.7859778598,0.8696808511,0.5290456432,0.1020092736,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.1254612546,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.085106383,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.7915667706,0.3129645169,0.7513631407,0.8798238054,0.5008769638,0.1430712059,0.0521757372,0.0097998082,0.0033864781,0.1703380589,0.0627699019,0.0112540894,0.0042748092,0.0832136359,0.028918893,0.0066072968,0.0014363689
0.3223977319,0.1077359255,0.2682705402,0.7706766917,0.1952157198,0.1437829081,0.1308221952,0.1109761037,0.2920210612,0.1452564685,0.1407172038,PrivacySuppressed,PrivacySuppressed,0.1315789474,0.0488721805,PrivacySuppressed,PrivacySuppressed
0.8469387755,0.5535714286,0.7257142857,0.9447004608,0.5427631579,0.1071428571,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.9065568578,0.7985429205,0.8364779874,0.9242364141,0.6382871537,0.0601837187,0.0231232182,0.0060183719,0.0041178334,0.0990566038,0.0408805031,PrivacySuppressed,PrivacySuppressed,0.0503768346,0.0186433955,PrivacySuppressed,PrivacySuppressed
0.8286626978,0.7201248729,0.6723735409,0.8894041738,0.5738443158,0.0972847394,0.0476985625,0.0174241324,0.0089298679,0.1600518807,0.0998702983,0.0422827497,0.0254215305,0.0728904123,0.0274221192,0.0077628793,0.0025204154
0.9119868045,0.8801061828,0.8200773861,0.9245073062,0.6014551334,0.0575758357,0.0225251926,0.0058503647,0.0020618025,0.0947979364,0.0552450559,0.0212811694,0.0085984523,0.0525051978,0.018067879,0.0037482796,0.0011713374
0.7765957447,0.8617021277,PrivacySuppressed,PrivacySuppressed,0.5,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.7373316228,0.6293564251,0.5794635131,0.8303040598,0.5611552347,0.130853111,0.0697028009,0.0379516784,0.0241607868,0.1837323334,0.1133544851,0.0723968849,0.0510527834,0.0997112281,0.0439952438,0.0176660438,0.0083234245
