UGDS,UG,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,UGDS_BLACKNH,UGDS_API,UGDS_AIANOLD,UGDS_HISPOLD,UG_NRA,UG_UNKN,UG_WHITENH,UG_BLACKNH,UG_API,UG_AIANOLD,UG_HISPOLD,UGDS_MEN,UGDS_WOMEN
718.0,,0.3677,0.0543,0.3886,0.0195,0.1476,0.0056,0.0125,0.0,0.0042,,,,,,,,,,,,,0.1685,0.8315
424.0,,0.2759,0.0542,0.5943,0.0071,0.0425,0.0024,0.0142,0.0,0.0094,,,,,,,,,,,,,0.191,0.809
176.0,,0.1989,0.0114,0.125,0.0,0.6307,0.0,0.0057,0.0,0.0284,,,,,,,,,,,,,0.1875,0.8125
32.0,,0.4688,0.0625,0.3438,0.0,0.0,0.0625,0.0625,0.0,0.0,,,,,,,,,,,,,0.0,1.0
628.0,,0.3774,0.0812,0.3328,0.0048,0.1274,0.043,0.0,0.0,0.0334,,,,,,,,,,,,,0.965,0.035
1357.0,,0.3478,0.19899999999999998,0.3088,0.0214,0.0575,0.0037,0.0265,0.0007,0.0346,,,,,,,,,,,,,0.2034,0.7966
39316.0,,0.5457,0.0394,0.188,0.0686,0.0133,0.0024,0.0401,0.0942,0.0083,,,,,,,,,,,,,0.5618,0.4382
7218.0,,0.1793,0.0292,0.6952,0.01,0.0114,0.003,0.0109,0.0313,0.0296,,,,,,,,,,,,,0.43700000000000006,0.563
32646.0,,0.5323,0.0355,0.2535,0.0555,0.0115,0.0027,0.0419,0.0574,0.0096,,,,,,,,,,,,,0.4788,0.5212
161.0,,0.4534,0.0435,0.3168,0.0062,0.0311,0.0,0.0,0.0,0.1491,,,,,,,,,,,,,0.4845,0.5155
5275.0,,0.461,0.07200000000000001,0.2709,0.0199,0.0476,0.0063,0.037000000000000005,0.0036,0.0817,,,,,,,,,,,,,0.3636,0.6364
611.0,,0.3552,0.1211,0.4354,0.018000000000000002,0.0573,0.0033,0.0,0.0,0.0098,,,,,,,,,,,,,0.3813,0.6187
54.0,,0.7593,0.0185,0.2037,0.0,0.0185,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.037000000000000005,0.963
