UNITID,GRAD_DEBT_MDN,WDRAW_DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,DEP_DEBT_MDN,IND_DEBT_MDN,FEMALE_DEBT_MDN,MALE_DEBT_MDN,FIRSTGEN_DEBT_MDN,NOTFIRSTGEN_DEBT_MDN,CUML_DEBT_P90,CUML_DEBT_P75,CUML_DEBT_P25,CUML_DEBT_P10,LOAN_EVER
446215,6615,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,5500,5500,PrivacySuppressed,6861,3465,PrivacySuppressed,0.790322581
446224,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
446233,PrivacySuppressed,5500,5500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,3500,7000,8000,5500,PrivacySuppressed,11050,2750,PrivacySuppressed,0.730994152
446242,11600,5730,9500,PrivacySuppressed,PrivacySuppressed,10245,9500,9500,9500,9500,9500,19700,11600,5635,2527,0.945679012
446251,4784,3219,4722,PrivacySuppressed,PrivacySuppressed,4664,4784,4760,4798,4724,4978.5,6439,6439,4664,3219,0.885714286
446260,6750,4119.5,6333,6756,6333,5500,6678.5,PrivacySuppressed,PrivacySuppressed,6352,6333,13000,10259,4584,3110,0.935643564
446288,10357,4750,9833,9833,9750,9500,10742.5,PrivacySuppressed,PrivacySuppressed,9833,9833,13000,13000,7000,4750,0.938837921
446303,8808.5,5059,7949,8299,6728,5873.5,8512.5,PrivacySuppressed,PrivacySuppressed,7974.5,7256.5,18955,9500,5249,2954,0.863481229
446349,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
446385,16172,9500,16334,12000,12000,12000,20000,12000,12000,12000,12000,PrivacySuppressed,20000,6335,PrivacySuppressed,PrivacySuppressed
