UNITID,C100_4,C100_L4,C150_4,C150_L4,C150_4_POOLED,C150_L4_POOLED,C150_4_WHITE,C150_4_BLACK,C150_4_HISP,C150_4_ASIAN,C150_4_AIAN,C150_4_NHPI,C150_4_2MOR,C150_4_NRA,C150_4_UNKN,C150_L4_WHITE,C150_L4_BLACK,C150_L4_HISP,C150_L4_ASIAN,C150_L4_AIAN,C150_L4_NHPI,C150_L4_2MOR,C150_L4_NRA,C150_L4_UNKN,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN
106485,0.1598,,0.2844,,0.282468858,,0.3435,0.1304,0.6,0,0.1429,,,,,,,,,,,,,,0.4681,,0.2778,,0.551
106494,,0.5405,,0.6757,,0.666682716,,,,,,,,,,,,,,,,,,,,0.8333,,,0.7907
106546,,0.3871,,0.3871,,0.3749725,,,,,,,,,,0.36,0,0,,,,1,,,,0.5405,,,0.7266
106625,,0.0825,,0.1797,,0.16232381,,,,,,,,,,0.1878,0.0714,0.2222,0,,,0.1818,,0,,0.5407,,0.413,0.3594
106704,0.214,,0.4467,,0.434573059,,0.4718,0.2914,0.4211,0.5926,0.4118,,,0.5904,0.5273,,,,,,,,,,0.6991,,0.36,,0.5125
106713,0.3261,,0.3173,,0.353491163,,0.3448,0,0,,0,,1,0.6667,,,,,,,,,,,0.7105,,0.5,,0.5913
106795,,0.1183,,0.2367,,0.22922149,,,,,,,,,,0.2264,0.2083,0.3,,0.25,,0.2,,,,0.6314,,0.2603,0
106810,0.0588,,0.1935,,0.24164,,0.1887,0.2222,,,,,,,,,,,,,,,,,0.5,,,,0.5
106829,,0.4578,,0.4578,,0.432251613,,,,,,,,,,,,,,,,,,,,0.2,,0.6429,0
106883,,0.0736,,0.1255,,0.12258129,,,,,,,,,,0.14,0.0902,0.5,,0,,0.5,,,,0.4554,,0.5806,0.0476
106892,,0.4037,,0.5413,,0.523909802,,,,,,,,,,,,,,,,,,,,,,,0.5807
106908,,0.0517,,0.6121,,0.560806275,,,,,,,,,,,,,,,,,,,,0.7931,,0.4444,0.7238
106980,,0.1135,,0.1773,,0.186867432,,,,,,,,,,0.1893,0.1515,0.1379,0,0.6,,,,0,,0.5634,,0.2963,0.4085
106999,,0.2271,,0.2415,,0.251024686,,,,,,,,,,0.2791,0,0.0417,0,0,0.5,0,,,,0.6047,,0.3438,0.2269
107044,0.4337,,0.6255,,0.623718557,,0.6299,0.3929,0.4231,,0.3333,,0.6667,0.8529,0.75,,,,,,,,,,0.8194,,0.6364,,0.5526
107071,0.1851,,0.3619,,0.322103777,,0.4031,0.2431,0.4,0.2,0.3333,,,0.2174,0.3,,,,,,,,,,0.5974,,0,,0.5964
107080,0.6605,,0.7256,,0.711964151,,0.7407,0.4706,0.75,0.5,0.6667,,0.5714,0.8571,0.875,,,,,,,,,,0.8667,,,,0.4703
107099,,0.04,,0.72,,0.727254545,,,,,,,,,,,,,,,,,,,,0.8889,,,0.75
107123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6
107141,0.5212,,0.6059,,0.631732036,,0.592,0.4,0.7778,0.25,0.25,,1,0.7241,,,,,,,,,,,0.8449,,,,0.5067
107211,,0.641,,0.641,,0.594601351,,,,,,,,,,,,,,,,,,,,0.625,,,0.4872
107220,,0.1448,,0.3348,,0.418030404,,,,,,,,,,,,,,,,,,,,0.7711,,0.4457,0.4251
107293,,0.25,,0.5909,,0.435915385,,,,,,,,,,,,,,,,,,,,0.75,,,0.6474
107318,,0.0779,,0.1107,,0.094725,,,,,,,,,,0.2239,0.0596,0,1,0,1,0,0.3333,,,0.4874,,0.3409,0
107327,,0.1374,,0.229,,0.215120336,,,,,,,,,,0.2601,0.1351,0.5,,,,0.1429,,,,0.574,,0.4833,0
107363,,0.1489,,0.617,,0.550449541,,,,,,,,,,,,,,,,,,,,0.68,,,0.7791
107442,,0.0833,,0.6667,,0.641304348,,,,,,,,,,,,,,,,,,,,0.871,,,0.3404
107460,,0.1166,,0.2261,,0.232223,,,,,,,,,,0.2228,0.5,0.3333,,0,,0.2308,0,,,0.5027,,0.3761,0.2441
107488,,0.1099,,0.5131,,0.467336832,,,,,,,,,,,,,,,,,,,,0.2601,,0.1667,0
107512,0.5074,,0.5817,,0.59152732,,0.6023,0.3871,0.3333,,0.8333,,,0.5455,,,,,,,,,,,0.7583,,,,0.5431
107521,,0.0662,,0.2279,,0.230524675,,,,,,,,,,0.2149,0.2857,0.4,,0,,1,,,,0.55,,0.4815,0.2039
107549,,0.1573,,0.236,,0.227308566,,,,,,,,,,0.2381,0,0.3333,0,0.25,,,,,,0.4587,,0.2128,0.3915
107558,0.3692,,0.4769,,0.479858713,,0.4605,0.375,0.3333,1,0.3333,,0,0.8235,0,,,,,,,,,,0.6792,,,,0.4957
107585,,0.1048,,0.2707,,0.273344523,,,,,,,,,,0.2951,0.1471,0.2,1,,1,0.1053,0.1429,,,0.4946,,0.4118,0.3965
107600,0.2357,,0.3857,,0.41482963,,0,0.3798,0,,,,,0.7143,0,,,,,,,,,,0.7836,,1,,0.8669
107619,,0.1762,,0.2694,,0.25691335,,,,,,,,,,0.4444,0.1481,0,,0,,,,,,0.5606,,0.3056,0.0232
107637,,0.1882,,0.1882,,0.155022,,,,,,,,,,0.1881,0.1875,0.4,0,0,,,,,,0.498,,0.3457,0.2367
107655,,0.6552,,0.6552,,0.690491667,,,,,,,,,,,,,,,,,,,,0.75,,,1
107664,,0.0313,,0.1019,,0.113553743,,,,,,,,,,0.1556,0.0466,0.2222,0.1333,0,,0,0.6667,0,,0.5726,,0.3898,0.6021
107725,,0.1127,,0.3052,,0.267303341,,,,,,,,,,0.4066,0.2165,0.3,0.5,0,,0,,0,,0.5447,,0.3521,0
107743,,0.1367,,0.2374,,0.229665724,,,,,,,,,,0.1864,0,0.6,0.5,0.5,,0.5,,,,0.438,,0.4,0
107789,,0.2258,,0.9032,,0.779667797,,,,,,,,,,,,,,,,,,,,0.8333,,1,0.6369
107831,,0.375,,0.4688,,0.519998667,,,,,,,,,,,,,,,,,,,,1,,,0.3576
107840,,,,,,,,,,,,,,,,,,,,,,,,,,0.5811,,0.5263,0.903
107877,0.2867,,0.4056,,0.402178623,,0.4318,0,0,0,0,,,0.3333,,,,,,,,,,,0.5844,,,,0.6028
107974,,0.0526,,0.1316,,0.118446281,,,,,,,,,,0.1647,0.0968,0,0,,,,,0.4,,0.4969,,0.4416,0.3744
107983,0.1815,,0.3061,,0.302066667,,0.3665,0.2022,0.4545,0.2,0.5,,,0.1591,,,,,,,,,,,0.6292,,0.4,,0.4794
